"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-COPD-HRRP,118,,1.1449,19.9559,17.4309,34,07/01/2018,06/30/2021
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-PN-HRRP,139,,1.0220,15.4135,15.0822,23,07/01/2018,06/30/2021
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,READM-30-HF-HRRP,138,,1.1798,23.1812,19.6479,43,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-HF-HRRP,204,,1.0687,22.3474,20.9101,50,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-PN-HRRP,214,,1.0319,18.0554,17.4967,41,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-COPD-HRRP,90,,1.0294,21.8540,21.2294,22,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-AMI-HRRP,97,,1.0002,13.3909,13.3881,13,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.9323,3.7531,4.0256,Too Few to Report,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-COPD-HRRP,N/A,,1.0430,16.8767,16.1811,Too Few to Report,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-PN-HRRP,121,,1.0590,13.9908,13.2107,21,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-HF-HRRP,N/A,,1.0524,18.5459,17.6217,Too Few to Report,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FIVE RIVERS MEDICAL CENTER,040047,AR,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-PN-HRRP,N/A,,0.9810,13.8356,14.1032,Too Few to Report,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.8785,3.0881,3.5152,Too Few to Report,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OUACHITA COUNTY MEDICAL CENTER,040050,AR,READM-30-HF-HRRP,N/A,,0.9619,17.4823,18.1739,Too Few to Report,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-PN-HRRP,240,,1.0983,16.7274,15.2302,47,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-COPD-HRRP,118,,1.0128,17.8244,17.5999,22,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-HF-HRRP,128,,1.0271,19.7477,19.2259,27,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DREW MEMORIAL HEALTH SYSTEM,040051,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-CABG-HRRP,61,,1.1206,13.7571,12.2765,11,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-HIP-KNEE-HRRP,N/A,,1.0144,5.0728,5.0007,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-AMI-HRRP,354,,1.0238,15.1875,14.8341,55,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-PN-HRRP,529,,1.0013,16.9944,16.9716,90,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-COPD-HRRP,310,,0.9815,20.1561,20.5354,61,07/01/2018,06/30/2021
BAPTIST HEALTH - FORT SMITH,040055,AR,READM-30-HF-HRRP,610,,0.9382,20.6916,22.0540,122,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-HIP-KNEE-HRRP,486,,0.8499,3.4473,4.0562,14,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-CABG-HRRP,70,,1.1140,12.2747,11.0184,11,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-PN-HRRP,620,,0.9318,16.3333,17.5280,96,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-HF-HRRP,657,,0.9155,19.6019,21.4107,123,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-COPD-HRRP,242,,1.0598,20.0128,18.8836,53,07/01/2018,06/30/2021
MERCY HOSPITAL FORT SMITH,040062,AR,READM-30-AMI-HRRP,297,,1.0969,14.8820,13.5673,49,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-COPD-HRRP,N/A,,1.0366,14.9658,14.4371,Too Few to Report,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-PN-HRRP,N/A,,1.0076,14.6213,14.5108,Too Few to Report,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-HF-HRRP,73,,1.0114,18.1978,17.9928,14,07/01/2018,06/30/2021
MAGNOLIA HOSPITAL,040067,AR,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-COPD-HRRP,N/A,,1.0016,18.0908,18.0617,Too Few to Report,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-PN-HRRP,N/A,,1.0419,16.5628,15.8974,Too Few to Report,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-HF-HRRP,50,,1.0564,19.0310,18.0155,13,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREAT RIVER MEDICAL CENTER,040069,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-PN-HRRP,301,,1.1927,19.5288,16.3737,72,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-HF-HRRP,349,,1.1540,24.1719,20.9462,94,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-AMI-HRRP,151,,1.0624,15.7652,14.8398,27,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-COPD-HRRP,164,,1.0248,18.3618,17.9172,32,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.9831,4.1651,4.2365,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-PN-HRRP,N/A,,0.9305,13.2553,14.2460,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-COPD-HRRP,N/A,,1.0307,15.8492,15.3766,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,READM-30-HF-HRRP,74,,0.9838,18.9924,19.3054,13,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-HF-HRRP,51,,1.0409,18.5186,17.7902,12,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-PN-HRRP,N/A,,1.0303,14.0783,13.6647,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-COPD-HRRP,N/A,,0.9558,14.9091,15.5979,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-PN-HRRP,396,,1.0645,17.5178,16.4559,74,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-HIP-KNEE-HRRP,132,,1.5611,6.3252,4.0517,16,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-AMI-HRRP,129,,1.1289,15.2483,13.5073,26,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-COPD-HRRP,109,,1.0177,17.1314,16.8326,20,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-HF-HRRP,259,,1.1606,24.3232,20.9567,73,07/01/2018,06/30/2021
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-CABG-HRRP,N/A,,0.9798,10.0552,10.2624,Too Few to Report,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-HF-HRRP,170,,0.9998,20.0078,20.0118,34,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-PN-HRRP,226,,1.0623,15.7593,14.8355,40,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-COPD-HRRP,145,,0.9945,18.2265,18.3277,26,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-AMI-HRRP,N/A,,0.9962,11.9831,12.0286,Too Few to Report,07/01/2018,06/30/2021
SALINE MEMORIAL HOSPITAL,040084,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.9735,3.7615,3.8640,Too Few to Report,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-COPD-HRRP,N/A,,0.9960,15.3459,15.4080,Too Few to Report,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-PN-HRRP,N/A,,0.9715,12.3183,12.6799,Too Few to Report,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-HF-HRRP,54,,1.0444,18.9562,18.1510,13,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HELENA REGIONAL MEDICAL CENTER,040085,AR,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-HF-HRRP,168,,0.8959,19.7779,22.0763,26,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-AMI-HRRP,124,,1.0311,14.0494,13.6261,19,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-COPD-HRRP,N/A,,0.9505,18.1316,19.0764,Too Few to Report,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-PN-HRRP,151,,0.9072,14.6344,16.1315,15,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,READM-30-HIP-KNEE-HRRP,N/A,,1.0025,3.8376,3.8279,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-COPD-HRRP,319,,0.9236,18.2351,19.7445,52,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-AMI-HRRP,293,,0.9416,12.6540,13.4385,34,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-PN-HRRP,861,,1.0259,16.7365,16.3133,146,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-HF-HRRP,660,,1.0602,22.1408,20.8837,150,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-HIP-KNEE-HRRP,218,,1.0929,4.3540,3.9840,11,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-CABG-HRRP,183,,0.9352,10.0998,10.8000,17,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-PN-HRRP,693,,1.1721,18.9223,16.1443,143,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-COPD-HRRP,227,,1.0756,19.9529,18.5512,51,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-AMI-HRRP,202,,1.0524,13.5544,12.8795,30,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-CABG-HRRP,N/A,,0.9894,10.8590,10.9758,Too Few to Report,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-HIP-KNEE-HRRP,241,,1.2779,5.3081,4.1539,17,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,READM-30-HF-HRRP,668,,1.0601,22.3211,21.0551,153,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-COPD-HRRP,159,,1.0024,18.7517,18.7070,30,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-PN-HRRP,213,,0.9561,16.5830,17.3449,32,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-AMI-HRRP,126,,0.9464,12.5455,13.2558,13,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-HF-HRRP,240,,0.9783,21.0191,21.4842,49,07/01/2018,06/30/2021
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.8927,3.7900,4.2453,Too Few to Report,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LEO N LEVI MEMORIAL HOSPITAL,040132,AR,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-PN-HRRP,126,,0.9923,15.5263,15.6475,19,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-COPD-HRRP,100,,0.9472,18.2112,19.2270,14,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-HF-HRRP,596,,1.0610,21.6618,20.4168,133,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-CABG-HRRP,430,,1.0344,10.0608,9.7261,44,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"ARKANSAS HEART HOSPITAL, LLC",040134,AR,READM-30-AMI-HRRP,459,,1.0266,13.4315,13.0835,63,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-AMI-HRRP,N/A,,0.9784,14.5656,14.8877,Too Few to Report,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-PN-HRRP,80,,0.9991,16.3312,16.3456,13,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-COPD-HRRP,N/A,,0.9974,17.7121,17.7579,Too Few to Report,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST VINCENT MEDICAL CENTER/NORTH,040137,AR,READM-30-HF-HRRP,95,,1.0062,20.6286,20.5016,20,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-HIP-KNEE-HRRP,2091,,0.8058,2.8030,3.4785,55,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS SURGICAL HOSPITAL,040147,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.8591,4.0056,4.6627,Too Few to Report,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-PN-HRRP,92,,1.0258,15.3797,14.9924,16,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-HF-HRRP,54,,1.0691,23.1107,21.6169,17,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-HF-HRRP,181,,0.9873,20.9091,21.1786,37,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-PN-HRRP,170,,1.0619,17.3788,16.3658,34,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-AMI-HRRP,102,,0.9730,12.1485,12.4854,11,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-HIP-KNEE-HRRP,N/A,,1.0762,3.9174,3.6398,Too Few to Report,07/01/2018,06/30/2021
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-COPD-HRRP,N/A,,0.9801,17.5990,17.9555,Too Few to Report,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-PN-HRRP,N/A,,1.0246,14.6720,14.3197,Too Few to Report,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-HF-HRRP,N/A,,1.0300,18.5683,18.0272,Too Few to Report,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ARKANSAS HEART HOSPITAL-ENCORE,040161,AR,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
UNITY HEALTH NEWPORT,040163,AR,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
UNITY HEALTH NEWPORT,040163,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
UNITY HEALTH NEWPORT,040163,AR,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
UNITY HEALTH NEWPORT,040163,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
